Year,Season,Nation,Gold,Silver,Bronze,Medals
1960,Summer,Russia,43.0,29.0,31.0,103.0
1960,Summer,USA,34.0,21.0,16.0,71.0
1960,Summer,Germany,12.0,19.0,11.0,42.0
1960,Summer,Italy,13.0,10.0,13.0,36.0
1960,Summer,Australia,8.0,8.0,6.0,22.0
1960,Summer,Hungary,6.0,8.0,7.0,21.0
1960,Summer,Poland,4.0,6.0,11.0,21.0
1960,Winter,Russia,7.0,5.0,9.0,21.0
1960,Summer,UK,2.0,6.0,12.0,20.0
1960,Summer,Japan,4.0,7.0,7.0,18.0
1960,Summer,Romania,3.0,1.0,6.0,10.0
1960,Winter,USA,3.0,4.0,3.0,10.0
1960,Summer,Turkey,7.0,2.0,0.0,9.0
1960,Summer,Czech Republic,3.0,2.0,3.0,8.0
1960,Winter,Finland,2.0,3.0,3.0,8.0
1960,Winter,Germany,4.0,3.0,1.0,8.0
1960,Summer,Bulgaria,1.0,3.0,3.0,7.0
1960,Winter,Sweden,3.0,2.0,2.0,7.0
1960,Winter,Austria,1.0,2.0,3.0,6.0
1960,Summer,Denmark,2.0,3.0,1.0,6.0
1960,Winter,Norway,3.0,3.0,0.0,6.0
1960,Summer,Sweden,1.0,2.0,3.0,6.0
1960,Summer,Switzerland,0.0,3.0,3.0,6.0
1960,Summer,Finland,1.0,1.0,3.0,5.0
1960,Summer,France,0.0,2.0,3.0,5.0
1960,Summer,Belgium,0.0,2.0,2.0,4.0
1960,Winter,Canada,2.0,1.0,1.0,4.0
1960,Summer,Iran,0.0,1.0,3.0,4.0
1960,Winter,France,1.0,0.0,2.0,3.0
1960,Summer,Netherlands,0.0,1.0,2.0,3.0
1960,Summer,New Zealand,2.0,0.0,1.0,3.0
1960,Summer,South Africa,0.0,1.0,2.0,3.0
1960,Summer,Argentina,0.0,1.0,1.0,2.0
1960,Summer,Austria,1.0,1.0,0.0,2.0
1960,Summer,Brazil,0.0,0.0,2.0,2.0
1960,Winter,Netherlands,0.0,1.0,1.0,2.0
1960,Summer,Pakistan,1.0,0.0,1.0,2.0
1960,Winter,Poland,0.0,1.0,1.0,2.0
1960,Summer,Serbia,1.0,1.0,0.0,2.0
1960,Winter,Switzerland,2.0,0.0,0.0,2.0
1960,Summer,Syria,0.0,1.0,1.0,2.0
1960,Summer,Trinidad,0.0,0.0,2.0,2.0
1960,Summer,Canada,0.0,1.0,0.0,1.0
1960,Winter,Czech Republic,0.0,1.0,0.0,1.0
1960,Summer,Ethiopia,1.0,0.0,0.0,1.0
1960,Summer,Ghana,0.0,1.0,0.0,1.0
1960,Summer,Greece,1.0,0.0,0.0,1.0
1960,Summer,India,0.0,1.0,0.0,1.0
1960,Summer,Iraq,0.0,0.0,1.0,1.0
1960,Winter,Italy,0.0,0.0,1.0,1.0
1960,Summer,Mexico,0.0,0.0,1.0,1.0
1960,Summer,Morocco,0.0,1.0,0.0,1.0
1960,Summer,Norway,1.0,0.0,0.0,1.0
1960,Summer,Portugal,0.0,1.0,0.0,1.0
1960,Summer,Singapore,0.0,1.0,0.0,1.0
1960,Summer,Spain,0.0,0.0,1.0,1.0
1960,Summer,Taiwan,0.0,1.0,0.0,1.0
1960,Summer,Venezuela,0.0,0.0,1.0,1.0
