Year,Season,Nation,Gold,Silver,Bronze,Medals
1960,Summer,Russia,43,29,31,103
1960,Summer,USA,34,21,16,71
1960,Summer,Germany,12,19,11,42
1960,Summer,Italy,13,10,13,36
1960,Summer,Australia,8,8,6,22
1960,Summer,Hungary,6,8,7,21
1960,Summer,Poland,4,6,11,21
1960,Winter,Russia,7,5,9,21
1960,Summer,UK,2,6,12,20
1960,Summer,Japan,4,7,7,18
1960,Summer,Romania,3,1,6,10
1960,Winter,USA,3,4,3,10
1960,Summer,Turkey,7,2,0,9
1960,Summer,Czech Republic,3,2,3,8
1960,Winter,Finland,2,3,3,8
1960,Winter,Germany,4,3,1,8
1960,Summer,Bulgaria,1,3,3,7
1960,Winter,Sweden,3,2,2,7
1960,Winter,Austria,1,2,3,6
1960,Summer,Denmark,2,3,1,6
1960,Winter,Norway,3,3,0,6
1960,Summer,Sweden,1,2,3,6
1960,Summer,Switzerland,0,3,3,6
1960,Summer,Finland,1,1,3,5
1960,Summer,France,0,2,3,5
1960,Summer,Belgium,0,2,2,4
1960,Winter,Canada,2,1,1,4
1960,Summer,Iran,0,1,3,4
1960,Winter,France,1,0,2,3
1960,Summer,Netherlands,0,1,2,3
1960,Summer,New Zealand,2,0,1,3
1960,Summer,South Africa,0,1,2,3
1960,Summer,Argentina,0,1,1,2
1960,Summer,Austria,1,1,0,2
1960,Summer,Brazil,0,0,2,2
1960,Winter,Netherlands,0,1,1,2
1960,Summer,Pakistan,1,0,1,2
1960,Winter,Poland,0,1,1,2
1960,Summer,Serbia,1,1,0,2
1960,Winter,Switzerland,2,0,0,2
1960,Summer,Syria,0,1,1,2
1960,Summer,Trinidad,0,0,2,2
1960,Summer,Canada,0,1,0,1
1960,Winter,Czech Republic,0,1,0,1
1960,Summer,Ethiopia,1,0,0,1
1960,Summer,Ghana,0,1,0,1
1960,Summer,Greece,1,0,0,1
1960,Summer,India,0,1,0,1
1960,Summer,Iraq,0,0,1,1
1960,Winter,Italy,0,0,1,1
1960,Summer,Mexico,0,0,1,1
1960,Summer,Morocco,0,1,0,1
1960,Summer,Norway,1,0,0,1
1960,Summer,Portugal,0,1,0,1
1960,Summer,Singapore,0,1,0,1
1960,Summer,Spain,0,0,1,1
1960,Summer,Taiwan,0,1,0,1
1960,Summer,Venezuela,0,0,1,1
1964,Summer,Russia,30,30,33,93
1964,Summer,USA,36,26,28,90
1964,Summer,Germany,10,22,18,50
1964,Summer,Japan,16,5,8,29
1964,Summer,Italy,10,10,7,27
1964,Winter,Russia,11,7,6,24
1964,Summer,Poland,7,6,10,23
1964,Summer,Hungary,10,7,5,22
1964,Summer,Australia,6,2,10,18
1964,Summer,UK,4,12,2,18
1964,Summer,France,1,8,6,15
1964,Winter,Norway,3,6,6,15
1964,Summer,Czech Republic,5,6,3,14
1964,Winter,Austria,4,5,3,12
1964,Summer,Romania,2,4,6,12
1964,Summer,Bulgaria,3,5,2,10
1964,Winter,Finland,3,4,3,10
1964,Summer,Netherlands,2,4,4,10
1964,Winter,Germany,3,3,3,9
1964,Summer,Sweden,2,2,4,8
1964,Winter,France,3,4,0,7
1964,Winter,Sweden,3,3,1,7
1964,Winter,USA,1,2,4,7
1964,Summer,Denmark,2,1,3,6
1964,Summer,Turkey,2,3,1,6
