Year,Country,Host,Athletes,Sports,Events,Gold,Silver,Bronze,Medals
1896,USA,0,14,3,16,11,6,2,19
1900,USA,0,75,10,41,21,16,17,54
1904,USA,1,524,18,95,76,79,75,230
1906,USA,0,38,5,28,12,5,6,23
1908,USA,0,122,10,52,22,12,12,46
1912,USA,0,174,11,68,26,18,19,63
1920,USA,0,288,18,113,41,27,27,95
1924,USA,0,299,18,108,45,27,27,99
1928,USA,0,280,15,96,22,18,16,56
1932,USA,1,474,17,122,44,36,30,110
1936,USA,0,359,21,127,24,21,12,57
1948,USA,0,300,19,126,38,27,19,84
1952,USA,0,286,18,133,40,19,17,76
1956,USA,0,305,19,144,32,25,17,74
1960,USA,0,292,17,147,34,21,16,71
1964,USA,0,346,19,159,36,26,28,90
1968,USA,0,357,18,167,45,28,34,107
1972,USA,0,400,21,185,33,31,30,94
1976,USA,0,396,19,189,34,35,25,94
1984,USA,1,522,25,217,82,61,30,173
1988,USA,0,527,27,230,36,31,27,94
