Year,City,Country,Sport,Event
1896,Athina,12,9,43
1900,Paris,31,20,90
1904,St. Louis,14,18,95
1906,Athina,20,13,74
1908,London,22,24,109
1912,Stockholm,29,17,107
1920,Antwerpen,29,25,158
1924,Paris,45,20,131
1928,Amsterdam,46,17,122
1932,Los Angeles,47,18,131
1936,Berlin,49,24,150
1948,London,59,20,153
1952,Helsinki,67,19,149
1956,Melbourne,66,18,145
1956,Stockholm,29,1,6
1960,Roma,83,19,150
1964,Tokyo,93,21,163
1968,Mexico City,111,20,172
1972,Munich,120,23,193
1976,Montreal,91,23,198
1980,Moskva,80,23,203
1984,Los Angeles,139,25,221
1988,Seoul,156,27,237
1992,Barcelona,168,29,257
1996,Atlanta,196,31,271
2000,Sydney,199,34,300
2004,Athina,200,34,301
2008,Beijing,203,34,302
2012,London,204,32,302
2016,Rio de Janeiro,206,34,306
